Codigo,Nombre,Precio,Inventario,Descripcion,SinIVA,ConIVA,Venta,Final
195166258591,DUSKMOURN PLAY BOOSTER,$7.000,46,DUSKMOURN PLAY BOOSTER,$3.818,$4.600,$7.000,
195166252384,OUTLAWSBOOSTER,$7.000,22,Outlaws of Thunder Junction Booster,,,$7.000,
8436017220681,FANTASMABLITZ,$16.000,20,FANTASMA BLITZ,$9.406,$11.193,$16.000,$16.000
7427047937367,MALTRAGO,$16.000,20,MAL TRAGO,$9.406,$11.200,$16.000,
195166278629,AETHERDRIFTBOOSTER,$7.000,17,AETHERDRIFT PLAY BOOSTER,$3.818,$4.600,$7.000,
799192150920,RINRINRAJA,$15.000,13,Rin Rin Raja,$8.824,$10.500,$15.000,
195166253596,MODERN HORIZONS 3 BOOSTER,$12.000,13,MODERN HORIZONS 3 BOOSTER,$7.095.388.889,$8.500,$12.200,$12.000
709081046609,PROTECTORMINIEURO,$5000,11,Fractal Mini Euro Protector,,,$5000,
195166278742,AETHERDRIFTCOLLECTORBOOSTER,$32.000,10,Aetherdrift Collector Booster,,,$32.000,
810083040356,EXPLODINGKITTENS,$21.000,10,EXPLODING KITTENS,$12.350,$14.700,$21.000,
196214112599,POKBWVICTINICOLLECTIONENG,32000,9,Victini Illustrator Collection BW (ENG),15921,"18945,99",$27.000,32000
799192150913,GUACAMOLE,$15.000,9,Guacamole,$13.303,$15.831,$15.000,
745853627171,VILLAPANDA,$12000,9,Villa Panda,,,$15000,$12000
3558380100263,SPLENDORDUEL,$23.000,8,SPLENDOR DUEL,$13.523,$16.100,$23.000,
3558380108115,DOBBLECONECT,$15.000,8,DOBBLE CONECT,$8.818,$10.500,$15.000,
3558380006763,DOBBLE,$15.000,8,DOBBLE,$8.818,$10.500,$15.000,
74427827137,PERFECTFITULTRAPRO,$5.000,7,PERFECT FIT ULTRA PRO,#VALUE!,$2443,$5.000,
709081046500,TAKENOKO,$38.000,7,TAKENOKO,$21.843,$26.000,$38.000,
8436017220100,CATANBASE,$35.000,7,CATAN BASE,$20.581,$24.491,$35.000,
196214112735,POKBWVICTINICOLLECTIONESP,32000,7,Victini Coleccion de Ilustrador BW (ESP),15921,"18945,99",$27.000,32000
8436607945550,POQUERDEBICHOS,$15.000,7,POQUER DE BICHOS,$8.818,$10.500,$15.000,
8436607944522,CATANENERGIAS,$60.000,6,CATAN ENERGIAS,$35.288,$42.000,$60.000,
709081046616,PROTECTORSTANDARDAMERICANOF,$5.000,6,PROTECTOR STANDARD AMERICANO FRACTAL,$2.053,$2.500,$4.000,$5.000
8005125312290,Puzzle 2000 piezas Mapa Antigu,$26.000,6,Puzzle 2000 piezas Mapa Antiguo,$12.995,$15.464,$26.000,
8005125318193,Puzzle 1500 piezas Roma,$23.000,6,Puzzle 1500 piezas Roma,$11.495,$13.679,$23.000,
724373628011,NOPUEDOPARAR,$20.000,6,31 MINUTOS NO PUEDO PARAR,$10.919,$13.000,$19.000,$20.000
